Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],RUL,Source
642.99,1594.19,2388.22,48.02,167,43,NASA
643.42,1601.18,2388.17,47.69,168,42,NASA
643.11,1591.17,2388.15,47.69,169,41,NASA
643.21,1599.05,2388.2,47.79,170,40,NASA
643.16,1591.5,2388.13,47.98,171,39,NASA
643.12,1595.0,2388.23,47.56,172,38,NASA
643.46,1594.78,2388.2,47.87,173,37,NASA
643.11,1595.92,2388.18,47.94,174,36,NASA
643.51,1591.72,2388.23,47.88,175,35,NASA
643.14,1602.66,2388.23,47.85,176,34,NASA
643.63,1599.51,2388.22,48.01,177,33,NASA
642.83,1599.41,2388.23,47.89,178,32,NASA
643.43,1594.65,2388.25,47.95,179,31,NASA
642.9,1596.91,2388.18,47.71,180,30,NASA
643.27,1590.19,2388.21,47.96,181,29,NASA
643.71,1599.19,2388.26,47.98,182,28,NASA
643.4,1595.59,2388.26,47.94,183,27,NASA
643.57,1595.96,2388.2,47.92,184,26,NASA
643.37,1599.18,2388.24,48.04,185,25,NASA
643.64,1597.71,2388.18,47.9,186,24,NASA
643.04,1600.11,2388.25,48.07,187,23,NASA
643.14,1604.62,2388.24,47.86,188,22,NASA
643.24,1600.68,2388.24,48.14,189,21,NASA
643.81,1597.63,2388.24,47.88,190,20,NASA
642.86,1593.94,2388.22,48.08,191,19,NASA
643.66,1595.93,2388.25,47.95,192,18,NASA
643.3,1595.24,2388.28,48.01,193,17,NASA
643.7,1599.47,2388.24,47.94,194,16,NASA
643.72,1602.47,2388.22,48.13,195,15,NASA
643.98,1596.85,2388.23,47.93,196,14,NASA
643.51,1601.93,2388.27,48.06,197,13,NASA
643.48,1599.38,2388.26,48.21,198,12,NASA
643.42,1601.28,2388.23,48.04,199,11,NASA
643.93,1601.24,2388.29,48.09,200,10,NASA
643.42,1597.56,2388.26,48.21,201,9,NASA
643.58,1603.94,2388.24,48.21,202,8,NASA
643.92,1603.83,2388.3,48.02,203,7,NASA
643.86,1599.62,2388.23,48.33,204,6,NASA
643.52,1605.57,2388.29,48.12,205,5,NASA
643.98,1600.8,2388.28,48.2,206,4,NASA
643.26,1599.16,2388.25,48.1,207,3,NASA
643.64,1606.72,2388.28,48.07,208,2,NASA
643.73,1603.22,2388.23,48.19,209,1,NASA
643.67,1598.61,2388.27,48.24,210,0,NASA
642.62,1591.75,2388.07,47.55,1,153,NASA
642.46,1591.88,2388.13,47.3,2,152,NASA
641.78,1585.31,2388.12,47.39,3,151,NASA
642.71,1592.71,2388.13,47.38,4,150,NASA
642.09,1587.59,2388.1,47.56,5,149,NASA
642.85,1586.86,2388.11,47.5,6,148,NASA
642.26,1583.78,2388.06,47.54,7,147,NASA
642.4,1587.29,2388.11,47.56,8,146,NASA
642.72,1589.08,2388.07,47.53,9,145,NASA
642.83,1584.97,2388.06,47.32,10,144,NASA
643.13,1582.29,2388.07,47.36,11,143,NASA
642.3,1591.82,2388.09,47.34,12,142,NASA
642.12,1588.45,2388.13,47.48,13,141,NASA
642.69,1590.52,2388.17,47.58,14,140,NASA
642.65,1587.02,2388.09,47.54,15,139,NASA
642.6,1583.71,2388.14,47.5,16,138,NASA
642.83,1586.01,2388.1,47.46,17,137,NASA
642.29,1585.14,2388.13,47.65,18,136,NASA
642.3,1583.71,2388.05,47.6,19,135,NASA
642.78,1586.51,2388.15,47.48,20,134,NASA
642.48,1586.09,2388.07,47.44,21,133,NASA
642.65,1589.23,2388.07,47.53,22,132,NASA
642.91,1594.68,2388.11,47.66,23,131,NASA
642.78,1589.04,2388.14,47.48,24,130,NASA
642.53,1588.28,2388.1,47.46,25,129,NASA
642.75,1590.76,2388.09,47.25,26,128,NASA
642.43,1581.6,2388.09,47.58,27,127,NASA
642.81,1591.61,2388.08,47.58,28,126,NASA
642.53,1591.34,2388.13,47.84,29,125,NASA
642.64,1590.8,2388.11,47.47,30,124,NASA
642.86,1584.4,2388.13,47.48,31,123,NASA
642.58,1590.54,2388.12,47.47,32,122,NASA
643.09,1592.54,2388.1,47.48,33,121,NASA
642.57,1586.78,2388.11,47.57,34,120,NASA
643.15,1583.88,2388.1,47.45,35,119,NASA
642.86,1594.03,2388.11,47.52,36,118,NASA
642.86,1587.77,2388.1,47.39,37,117,NASA
642.72,1597.55,2388.17,47.51,38,116,NASA
642.61,1593.84,2388.16,47.61,39,115,NASA
642.44,1591.76,2388.13,47.3,40,114,NASA
642.88,1587.79,2388.12,47.61,41,113,NASA
642.37,1591.22,2388.1,47.3,42,112,NASA
642.08,1589.69,2388.1,47.4,43,111,NASA
642.44,1587.27,2388.1,47.49,44,110,NASA
642.74,1587.64,2388.11,47.66,45,109,NASA
642.68,1582.92,2388.12,47.49,46,108,NASA
642.47,1583.7,2388.12,47.47,47,107,NASA
642.42,1597.41,2388.06,47.57,48,106,NASA
642.48,1580.52,2388.1,47.49,49,105,NASA
642.82,1589.72,2388.13,47.47,50,104,NASA
642.27,1588.62,2388.16,47.67,51,103,NASA
642.49,1582.17,2388.16,47.46,52,102,NASA
642.44,1596.23,2388.15,47.61,53,101,NASA
642.93,1591.77,2388.1,47.29,54,100,NASA
642.2,1594.71,2388.11,47.68,55,99,NASA
642.37,1588.1,2388.09,47.47,56,98,NASA
642.13,1583.93,2388.1,47.5,57,97,NASA
642.84,1598.44,2388.13,47.53,58,96,NASA
642.95,1590.79,2388.11,47.55,59,95,NASA
642.97,1589.3,2388.12,47.57,60,94,NASA
642.75,1585.58,2388.15,47.58,61,93,NASA
642.47,1588.19,2388.05,47.41,62,92,NASA
642.97,1585.94,2388.09,47.45,63,91,NASA
642.98,1586.2,2388.13,47.59,64,90,NASA
642.57,1588.21,2388.08,47.42,65,89,NASA
642.62,1587.43,2388.14,47.4,66,88,NASA
642.73,1583.73,2388.13,47.48,67,87,NASA
643.13,1592.02,2388.12,47.54,68,86,NASA
642.85,1592.74,2388.12,47.66,69,85,NASA
642.72,1589.98,2388.13,47.51,70,84,NASA
642.39,1587.44,2388.13,47.47,71,83,NASA
642.67,1593.31,2388.13,47.51,72,82,NASA
642.68,1591.07,2388.07,47.39,73,81,NASA
642.39,1588.72,2388.15,47.56,74,80,NASA
642.6,1585.52,2388.16,47.66,75,79,NASA
642.63,1590.84,2388.12,47.56,76,78,NASA
642.29,1595.03,2388.14,47.5,77,77,NASA
643.19,1597.73,2388.1,47.62,78,76,NASA
642.43,1594.06,2388.15,47.57,79,75,NASA
643.81,1583.38,2388.14,47.66,80,74,NASA
642.81,1585.68,2388.08,47.6,81,73,NASA
642.3,1590.81,2388.15,47.55,82,72,NASA
643.13,1577.92,2388.14,47.55,83,71,NASA
642.88,1589.73,2388.17,47.42,84,70,NASA
642.85,1582.0,2388.13,47.48,85,69,NASA
643.33,1592.79,2388.15,47.26,86,68,NASA
642.52,1591.29,2388.16,47.49,87,67,NASA
643.05,1586.76,2388.14,47.56,88,66,NASA
642.23,1595.81,2388.17,47.55,89,65,NASA
642.68,1596.51,2388.11,47.52,90,64,NASA
642.79,1591.8,2388.19,47.43,91,63,NASA
642.93,1590.2,2388.15,47.59,92,62,NASA
642.94,1591.57,2388.13,47.66,93,61,NASA
642.91,1596.19,2388.16,47.7,94,60,NASA
643.66,1596.08,2388.1,47.76,95,59,NASA
642.85,1588.31,2388.14,47.64,96,58,NASA
643.2,1591.43,2388.16,47.65,97,57,NASA
643.21,1591.89,2388.12,47.86,98,56,NASA
642.69,1593.86,2388.1,47.92,99,55,NASA
642.58,1591.63,2388.15,48.0,100,54,NASA
643.13,1588.67,2388.14,47.55,101,53,NASA
642.87,1589.1,2388.13,47.56,102,52,NASA
642.8,1593.24,2388.16,47.63,103,51,NASA
642.61,1593.13,2388.18,47.43,104,50,NASA
642.89,1598.96,2388.15,47.57,105,49,NASA
642.87,1594.48,2388.16,47.52,106,48,NASA
642.78,1596.86,2388.13,47.65,107,47,NASA
642.97,1584.63,2388.15,47.72,108,46,NASA
642.78,1590.58,2388.21,47.68,109,45,NASA
643.02,1592.21,2388.16,47.58,110,44,NASA
642.9,1598.66,2388.14,47.63,111,43,NASA
643.05,1592.8,2388.18,47.69,112,42,NASA
643.13,1595.98,2388.24,47.93,113,41,NASA
643.29,1587.44,2388.15,47.73,114,40,NASA
642.53,1593.62,2388.12,47.64,115,39,NASA
642.97,1587.52,2388.19,47.67,116,38,NASA
643.32,1590.98,2388.18,47.64,117,37,NASA
643.37,1601.89,2388.15,47.88,118,36,NASA
643.05,1592.65,2388.14,47.71,119,35,NASA
643.01,1595.5,2388.22,47.75,120,34,NASA
643.01,1588.1,2388.17,47.93,121,33,NASA
642.9,1594.92,2388.19,47.67,122,32,NASA
643.04,1589.03,2388.18,47.74,123,31,NASA
643.03,1590.52,2388.19,47.89,124,30,NASA
643.06,1599.57,2388.23,47.81,125,29,NASA
642.93,1593.37,2388.18,47.87,126,28,NASA
643.48,1592.36,2388.18,47.79,127,27,NASA
643.2,1599.17,2388.14,47.77,128,26,NASA
643.55,1590.15,2388.16,47.87,129,25,NASA
643.02,1595.82,2388.18,47.84,130,24,NASA
643.06,1596.61,2388.16,47.86,131,23,NASA
643.38,1602.24,2388.19,48.0,132,22,NASA
643.06,1590.19,2388.17,47.65,133,21,NASA
643.66,1595.34,2388.19,47.92,134,20,NASA
643.37,1592.53,2388.18,47.93,135,19,NASA
643.98,1591.07,2388.21,48.0,136,18,NASA
642.93,1606.2,2388.21,47.97,137,17,NASA
643.14,1608.28,2388.17,47.83,138,16,NASA
643.41,1601.91,2388.21,47.95,139,15,NASA
643.24,1596.97,2388.22,47.97,140,14,NASA
643.09,1602.25,2388.21,47.86,141,13,NASA
643.02,1593.8,2388.22,47.91,142,12,NASA
643.27,1606.55,2388.21,47.91,143,11,NASA
643.87,1599.52,2388.23,47.97,144,10,NASA
643.03,1599.24,2388.22,48.07,145,9,NASA
643.12,1606.96,2388.2,48.02,146,8,NASA
642.92,1598.62,2388.19,48.17,147,7,NASA
643.52,1590.78,2388.14,48.1,148,6,NASA
643.52,1602.14,2388.21,48.03,149,5,NASA
643.87,1599.88,2388.24,48.29,150,4,NASA
643.35,1603.88,2388.24,48.12,151,3,NASA
643.79,1606.27,2388.21,48.14,152,2,NASA
643.81,1607.37,2388.3,48.26,153,1,NASA
643.49,1601.95,2388.27,48.08,154,0,NASA
642.0,1587.5,2388.02,47.0,1,230,NASA
641.45,1586.11,2387.98,47.23,2,229,NASA
641.96,1586.33,2387.98,47.12,3,228,NASA
642.14,1591.12,2387.98,47.04,4,227,NASA
642.0,1578.97,2388.02,46.9,5,226,NASA
641.69,1579.1,2388.02,47.24,6,225,NASA
641.56,1584.97,2388.01,47.04,7,224,NASA
642.05,1583.58,2387.93,47.01,8,223,NASA
642.18,1589.59,2388.03,47.2,9,222,NASA
641.91,1584.85,2388.01,47.17,10,221,NASA
642.15,1580.93,2387.98,46.99,11,220,NASA
641.5,1576.39,2387.97,47.22,12,219,NASA
642.06,1587.39,2387.97,47.14,13,218,NASA
642.42,1581.03,2387.92,47.03,14,217,NASA
641.91,1580.52,2387.98,47.2,15,216,NASA
641.58,1585.95,2387.99,47.07,16,215,NASA
641.97,1585.03,2388.0,47.02,17,214,NASA
642.19,1582.07,2387.99,47.06,18,213,NASA
642.18,1590.55,2388.09,47.25,19,212,NASA
642.29,1572.67,2388.0,47.09,20,211,NASA
642.0,1589.19,2388.02,47.15,21,210,NASA
642.15,1581.67,2387.98,47.27,22,209,NASA
641.47,1590.37,2388.01,47.06,23,208,NASA
641.77,1584.09,2388.01,47.18,24,207,NASA
642.11,1582.28,2387.98,47.2,25,206,NASA
642.14,1583.98,2387.98,47.19,26,205,NASA
641.79,1580.41,2387.95,47.15,27,204,NASA
642.0,1583.3,2387.98,47.03,28,203,NASA
641.76,1587.66,2388.02,47.1,29,202,NASA
642.45,1590.95,2388.04,47.18,30,201,NASA
642.18,1589.18,2387.97,47.25,31,200,NASA
642.22,1580.42,2387.94,47.06,32,199,NASA
642.02,1578.83,2388.04,47.08,33,198,NASA
641.9,1582.77,2388.02,46.96,34,197,NASA
641.66,1581.09,2388.02,47.1,35,196,NASA
642.0,1582.28,2387.99,47.08,36,195,NASA
642.69,1583.05,2388.01,47.04,37,194,NASA
641.69,1590.53,2388.03,47.21,38,193,NASA
642.21,1586.08,2388.01,47.1,39,192,NASA
641.73,1577.8,2387.95,47.22,40,191,NASA
642.02,1589.95,2387.97,47.29,41,190,NASA
642.31,1586.48,2388.05,47.28,42,189,NASA
642.65,1579.28,2388.04,47.16,43,188,NASA
642.09,1588.84,2388.01,47.29,44,187,NASA
642.51,1584.36,2388.01,47.15,45,186,NASA
642.35,1581.22,2388.03,47.28,46,185,NASA
641.82,1583.15,2388.0,47.03,47,184,NASA
641.9,1584.07,2387.94,47.27,48,183,NASA
642.2,1579.41,2388.0,47.13,49,182,NASA
641.64,1584.88,2387.99,46.99,50,181,NASA
642.39,1585.03,2388.08,47.33,51,180,NASA
642.29,1579.12,2388.06,47.24,52,179,NASA
641.97,1572.46,2388.05,47.16,53,178,NASA
641.85,1579.43,2387.98,47.22,54,177,NASA
641.55,1587.66,2387.98,47.26,55,176,NASA
641.97,1587.21,2388.0,47.09,56,175,NASA
642.3,1582.75,2387.96,47.06,57,174,NASA
641.86,1586.23,2388.0,47.19,58,173,NASA
642.34,1591.43,2388.01,47.15,59,172,NASA
642.27,1580.72,2387.95,47.19,60,171,NASA
641.79,1588.09,2387.98,47.23,61,170,NASA
642.01,1579.61,2388.0,47.09,62,169,NASA
641.76,1591.07,2387.99,47.16,63,168,NASA
642.09,1579.69,2387.99,47.16,64,167,NASA
642.49,1581.95,2388.03,47.09,65,166,NASA
641.69,1586.59,2387.99,47.39,66,165,NASA
642.1,1583.62,2387.98,47.32,67,164,NASA
642.18,1586.33,2388.01,47.14,68,163,NASA
641.81,1586.41,2387.98,47.24,69,162,NASA
642.05,1585.08,2387.98,46.91,70,161,NASA
642.1,1583.49,2387.99,47.2,71,160,NASA
642.22,1575.4,2388.01,47.11,72,159,NASA
642.41,1588.83,2387.96,47.15,73,158,NASA
642.8,1585.88,2388.01,47.17,74,157,NASA
642.06,1583.69,2388.02,47.05,75,156,NASA
641.94,1585.62,2388.02,47.05,76,155,NASA
642.16,1583.03,2388.02,47.1,77,154,NASA
642.81,1580.73,2388.01,47.28,78,153,NASA
642.43,1591.9,2387.99,47.0,79,152,NASA
641.86,1587.43,2387.98,47.5,80,151,NASA
641.52,1581.96,2388.04,47.14,81,150,NASA
642.23,1580.34,2388.03,47.04,82,149,NASA
642.12,1590.83,2388.03,47.23,83,148,NASA
642.09,1581.32,2388.0,47.15,84,147,NASA
641.98,1585.81,2388.02,47.41,85,146,NASA
642.72,1585.99,2387.95,47.13,86,145,NASA
642.37,1584.91,2388.02,47.3,87,144,NASA
642.6,1589.02,2387.99,47.12,88,143,NASA
641.93,1588.07,2388.0,47.3,89,142,NASA
642.49,1586.05,2388.03,47.43,90,141,NASA
641.76,1587.4,2388.08,47.38,91,140,NASA
642.37,1585.87,2388.07,47.14,92,139,NASA
641.81,1575.74,2388.04,47.21,93,138,NASA
642.29,1586.88,2387.98,47.27,94,137,NASA
642.09,1580.71,2387.98,47.2,95,136,NASA
641.95,1585.83,2388.02,47.4,96,135,NASA
642.5,1581.51,2388.04,47.3,97,134,NASA
642.19,1576.65,2388.01,47.23,98,133,NASA
641.79,1583.97,2388.02,47.11,99,132,NASA
641.5,1586.11,2388.03,47.19,100,131,NASA
642.69,1583.12,2387.97,47.2,101,130,NASA
642.34,1585.71,2388.04,47.28,102,129,NASA
642.7,1583.29,2388.06,47.29,103,128,NASA
641.72,1586.81,2388.03,47.4,104,127,NASA
642.66,1584.55,2387.98,47.44,105,126,NASA
642.4,1587.69,2388.01,47.35,106,125,NASA
641.7,1579.04,2388.06,47.29,107,124,NASA
641.9,1581.3,2388.06,47.1,108,123,NASA
641.91,1580.32,2388.01,47.42,109,122,NASA
642.41,1586.47,2388.05,47.35,110,121,NASA
642.04,1587.48,2388.01,47.29,111,120,NASA
642.58,1589.46,2388.06,47.27,112,119,NASA
642.87,1586.97,2387.98,47.04,113,118,NASA
642.58,1582.74,2388.09,47.1,114,117,NASA
642.43,1590.86,2388.05,47.37,115,116,NASA
642.06,1588.22,2388.01,47.2,116,115,NASA
641.81,1585.26,2388.05,47.38,117,114,NASA
642.28,1581.92,2388.1,47.52,118,113,NASA
642.58,1579.99,2388.04,47.15,119,112,NASA
642.17,1584.44,2388.03,47.18,120,111,NASA
642.35,1581.19,2388.04,47.19,121,110,NASA
642.31,1584.89,2388.04,47.29,122,109,NASA
642.09,1577.55,2387.99,47.38,123,108,NASA
642.23,1587.56,2388.0,47.24,124,107,NASA
642.45,1588.88,2387.97,47.35,125,106,NASA
642.51,1582.6,2388.06,47.43,126,105,NASA
642.74,1578.88,2388.04,47.33,127,104,NASA
642.07,1589.93,2388.07,47.35,128,103,NASA
641.98,1587.68,2388.08,47.08,129,102,NASA
642.43,1586.05,2388.04,47.39,130,101,NASA
642.14,1579.85,2388.08,47.44,131,100,NASA
642.5,1587.02,2388.01,47.28,132,99,NASA
642.15,1584.59,2388.01,47.4,133,98,NASA
642.41,1595.16,2388.02,47.39,134,97,NASA
642.29,1579.77,2388.02,47.27,135,96,NASA
642.68,1593.67,2388.07,47.17,136,95,NASA
642.2,1588.61,2388.06,47.35,137,94,NASA
642.34,1584.42,2388.08,47.34,138,93,NASA
642.45,1583.62,2388.05,47.27,139,92,NASA
642.39,1585.01,2388.08,47.37,140,91,NASA
642.26,1592.69,2388.02,47.36,141,90,NASA
642.48,1579.28,2388.04,47.25,142,89,NASA
642.29,1588.2,2387.97,47.32,143,88,NASA
642.9,1589.73,2387.99,47.37,144,87,NASA
642.3,1591.72,2388.09,47.42,145,86,NASA
642.29,1591.29,2388.03,47.35,146,85,NASA
642.16,1584.68,2388.06,47.27,147,84,NASA
642.6,1582.93,2388.02,47.48,148,83,NASA
642.82,1583.95,2388.05,47.45,149,82,NASA
642.2,1594.49,2388.05,47.12,150,81,NASA
642.32,1580.65,2388.03,47.4,151,80,NASA
642.04,1591.17,2388.06,47.37,152,79,NASA
642.41,1585.18,2388.03,47.45,153,78,NASA
642.47,1585.71,2388.04,47.37,154,77,NASA
642.53,1588.23,2388.12,47.57,155,76,NASA
642.54,1578.55,2388.06,47.42,156,75,NASA
642.64,1589.6,2388.06,47.31,157,74,NASA
642.33,1584.5,2388.04,47.23,158,73,NASA
642.81,1593.32,2388.06,47.39,159,72,NASA
642.86,1591.46,2388.05,47.56,160,71,NASA
642.27,1589.57,2388.03,47.46,161,70,NASA
641.87,1587.83,2388.03,47.44,162,69,NASA
642.6,1589.06,2388.05,47.62,163,68,NASA
642.28,1590.37,2388.04,47.37,164,67,NASA
642.77,1591.73,2388.06,47.51,165,66,NASA
642.89,1593.78,2388.07,47.49,166,65,NASA
642.73,1586.11,2388.05,47.38,167,64,NASA
642.17,1583.08,2388.05,47.57,168,63,NASA
642.39,1592.26,2388.06,47.45,169,62,NASA
642.5,1596.75,2388.08,47.48,170,61,NASA
642.76,1588.0,2388.08,47.3,171,60,NASA
642.53,1585.42,2388.07,47.47,172,59,NASA
642.11,1587.56,2388.07,47.65,173,58,NASA
642.74,1587.1,2388.09,47.35,174,57,NASA
642.96,1593.69,2388.11,47.5,175,56,NASA
642.44,1594.83,2388.12,47.35,176,55,NASA
642.52,1591.31,2388.13,47.53,177,54,NASA
642.7,1594.99,2388.05,47.43,178,53,NASA
643.22,1584.8,2388.07,47.49,179,52,NASA
642.75,1593.12,2388.11,47.69,180,51,NASA
642.8,1595.24,2388.11,47.63,181,50,NASA
643.13,1591.25,2388.11,47.66,182,49,NASA
642.96,1596.74,2388.12,47.55,183,48,NASA
642.82,1591.95,2388.1,47.77,184,47,NASA
642.61,1592.09,2388.09,47.56,185,46,NASA
642.83,1590.4,2388.13,47.64,186,45,NASA
642.5,1591.34,2388.13,47.77,187,44,NASA
642.76,1592.48,2388.12,47.64,188,43,NASA
642.62,1588.96,2388.1,47.53,189,42,NASA
642.96,1591.33,2388.08,47.59,190,41,NASA
642.89,1585.86,2388.14,47.68,191,40,NASA
643.15,1590.94,2388.13,47.56,192,39,NASA
642.77,1587.35,2388.11,47.69,193,38,NASA
642.97,1590.03,2388.07,47.72,194,37,NASA
642.79,1589.34,2388.14,47.75,195,36,NASA
642.83,1592.59,2388.14,47.63,196,35,NASA
643.01,1592.51,2388.13,47.8,197,34,NASA
643.38,1594.96,2388.14,47.82,198,33,NASA
642.94,1598.32,2388.09,47.8,199,32,NASA
643.1,1592.34,2388.16,47.62,200,31,NASA
642.49,1597.12,2388.14,47.72,201,30,NASA
642.41,1593.07,2388.16,47.59,202,29,NASA
643.26,1584.91,2388.14,47.58,203,28,NASA
643.02,1593.48,2388.1,47.74,204,27,NASA
642.94,1591.58,2388.15,47.99,205,26,NASA
643.36,1596.39,2388.11,47.89,206,25,NASA
643.58,1589.89,2388.17,47.75,207,24,NASA
642.87,1600.56,2388.12,47.95,208,23,NASA
643.86,1594.65,2388.19,47.89,209,22,NASA
643.15,1599.74,2388.18,48.04,210,21,NASA
642.98,1598.78,2388.15,47.86,211,20,NASA
643.65,1594.42,2388.14,47.91,212,19,NASA
642.75,1601.66,2388.26,47.96,213,18,NASA
643.13,1597.39,2388.19,47.95,214,17,NASA
643.21,1599.05,2388.15,48.13,215,16,NASA
643.03,1605.16,2388.14,47.97,216,15,NASA
643.51,1593.85,2388.21,47.82,217,14,NASA
643.45,1603.88,2388.19,47.97,218,13,NASA
643.68,1605.06,2388.19,47.98,219,12,NASA
643.39,1594.57,2388.16,47.88,220,11,NASA
643.57,1602.14,2388.19,48.07,221,10,NASA
643.64,1603.29,2388.22,47.97,222,9,NASA
643.3,1597.67,2388.18,48.15,223,8,NASA
643.92,1600.49,2388.24,47.99,224,7,NASA
643.99,1605.76,2388.22,48.09,225,6,NASA
643.61,1601.54,2388.19,48.1,226,5,NASA
643.81,1604.31,2388.18,48.08,227,4,NASA
643.87,1603.2,2388.17,48.03,228,3,NASA
643.45,1596.39,2388.21,48.13,229,2,NASA
643.2,1603.23,2388.15,48.33,230,1,NASA
643.23,1596.6,2388.24,48.22,231,0,NASA
642.22,1581.77,2387.95,47.1,1,198,NASA
641.97,1582.13,2387.96,47.15,2,197,NASA
642.15,1584.59,2387.99,47.37,3,196,NASA
641.71,1584.17,2387.99,47.09,4,195,NASA
642.15,1582.11,2388.04,47.11,5,194,NASA
642.6,1582.13,2388.01,47.08,6,193,NASA
642.03,1584.75,2388.04,47.09,7,192,NASA
642.73,1583.71,2388.08,47.14,8,191,NASA
642.52,1585.8,2388.02,47.13,9,190,NASA
642.29,1588.6,2387.98,47.08,10,189,NASA
642.27,1576.89,2387.99,47.14,11,188,NASA
641.97,1592.16,2388.02,47.34,12,187,NASA
641.94,1580.59,2388.06,47.13,13,186,NASA
642.01,1584.95,2388.04,47.33,14,185,NASA
642.01,1589.19,2388.07,47.23,15,184,NASA
642.53,1577.53,2388.0,46.92,16,183,NASA
642.2,1580.36,2387.99,47.17,17,182,NASA
641.98,1585.41,2388.03,46.93,18,181,NASA
642.53,1588.12,2388.0,47.08,19,180,NASA
642.74,1576.83,2387.98,47.11,20,179,NASA
641.9,1580.28,2388.01,47.22,21,178,NASA
642.15,1581.45,2387.97,47.05,22,177,NASA
642.35,1582.6,2388.04,47.09,23,176,NASA
642.26,1582.97,2387.96,47.2,24,175,NASA
641.3,1576.55,2388.02,47.14,25,174,NASA
642.25,1588.8,2387.97,47.08,26,173,NASA
642.1,1587.27,2388.01,47.19,27,172,NASA
642.88,1588.64,2387.99,47.1,28,171,NASA
641.95,1587.44,2387.97,47.24,29,170,NASA
642.06,1582.3,2388.02,47.12,30,169,NASA
642.18,1581.59,2388.03,47.25,31,168,NASA
641.83,1586.54,2388.03,47.53,32,167,NASA
641.5,1584.15,2388.0,47.24,33,166,NASA
642.53,1577.16,2388.01,47.31,34,165,NASA
642.59,1583.42,2388.02,47.23,35,164,NASA
642.62,1580.53,2388.04,47.28,36,163,NASA
642.13,1582.42,2388.01,47.13,37,162,NASA
642.1,1577.93,2387.99,47.18,38,161,NASA
641.46,1584.44,2388.04,47.09,39,160,NASA
642.4,1588.45,2388.03,47.17,40,159,NASA
642.06,1585.17,2388.01,47.12,41,158,NASA
642.17,1590.6,2388.02,47.12,42,157,NASA
642.13,1585.89,2387.99,47.24,43,156,NASA
642.15,1581.65,2387.97,47.2,44,155,NASA
642.53,1581.2,2388.0,47.12,45,154,NASA
641.97,1584.78,2388.04,47.17,46,153,NASA
642.57,1583.98,2388.05,47.11,47,152,NASA
641.9,1582.76,2388.0,47.08,48,151,NASA
642.59,1582.36,2387.98,47.16,49,150,NASA
641.99,1586.44,2388.01,47.27,50,149,NASA
641.61,1580.53,2388.0,47.23,51,148,NASA
642.03,1579.55,2388.01,47.28,52,147,NASA
642.25,1583.89,2387.98,47.29,53,146,NASA
642.36,1579.7,2388.01,47.29,54,145,NASA
642.62,1576.89,2388.01,47.08,55,144,NASA
641.98,1576.72,2388.04,47.09,56,143,NASA
641.99,1582.94,2387.99,47.09,57,142,NASA
642.46,1589.58,2388.02,47.19,58,141,NASA
642.0,1576.18,2388.04,47.14,59,140,NASA
642.59,1586.38,2388.03,47.18,60,139,NASA
641.54,1586.96,2388.03,47.18,61,138,NASA
641.98,1585.77,2388.03,46.96,62,137,NASA
642.94,1582.5,2388.01,47.22,63,136,NASA
641.92,1583.98,2388.02,47.3,64,135,NASA
641.96,1584.58,2388.02,47.1,65,134,NASA
642.22,1577.15,2388.06,47.09,66,133,NASA
641.92,1589.63,2388.06,47.24,67,132,NASA
642.36,1582.22,2388.0,47.22,68,131,NASA
642.48,1589.64,2388.06,46.97,69,130,NASA
642.62,1581.51,2387.99,47.34,70,129,NASA
641.86,1581.77,2388.07,47.17,71,128,NASA
642.77,1582.62,2388.03,47.33,72,127,NASA
641.81,1589.23,2388.0,47.26,73,126,NASA
642.22,1587.3,2387.99,47.34,74,125,NASA
642.16,1588.78,2388.05,47.26,75,124,NASA
641.32,1581.1,2388.03,47.25,76,123,NASA
642.25,1586.14,2387.98,47.4,77,122,NASA
641.68,1586.43,2388.02,47.1,78,121,NASA
642.8,1582.95,2387.98,47.34,79,120,NASA
642.32,1589.41,2388.02,47.33,80,119,NASA
641.27,1581.91,2388.02,47.14,81,118,NASA
641.72,1585.22,2388.03,47.09,82,117,NASA
642.03,1581.53,2388.04,47.28,83,116,NASA
642.16,1588.24,2388.03,47.22,84,115,NASA
641.99,1592.25,2388.01,47.18,85,114,NASA
642.81,1580.2,2388.04,47.37,86,113,NASA
642.07,1577.99,2388.01,47.41,87,112,NASA
641.91,1590.86,2387.96,47.25,88,111,NASA
642.3,1596.27,2388.0,47.29,89,110,NASA
642.39,1587.3,2388.02,47.39,90,109,NASA
642.52,1585.19,2388.03,47.04,91,108,NASA
642.46,1586.99,2387.99,47.35,92,107,NASA
642.33,1591.24,2388.03,47.43,93,106,NASA
642.35,1586.82,2388.02,47.29,94,105,NASA
642.2,1593.69,2388.05,47.11,95,104,NASA
642.53,1583.77,2388.03,47.23,96,103,NASA
642.22,1588.49,2388.07,47.35,97,102,NASA
641.58,1591.53,2388.02,47.34,98,101,NASA
642.31,1584.4,2388.08,47.26,99,100,NASA
642.42,1579.58,2388.04,47.24,100,99,NASA
642.56,1590.38,2388.06,47.32,101,98,NASA
642.02,1582.58,2388.02,47.3,102,97,NASA
642.55,1588.47,2388.02,47.44,103,96,NASA
642.67,1579.46,2388.09,47.41,104,95,NASA
642.52,1588.05,2388.01,47.37,105,94,NASA
642.15,1589.71,2388.05,47.11,106,93,NASA
642.81,1579.71,2388.09,47.46,107,92,NASA
